AMC,Code,Scheme Name,Scheme Type,Scheme Category,Scheme NAV Name,Scheme Minimum Amount,Launch Date, Closure Date,ISIN Div Payout/ ISIN GrowthISIN Div Reinvestment
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124776,HDFC FMP 370D October 2013 (1),Close Ended,Income,HDFC FMP 370D October 2013 (1) - Direct Option - Quarterly Dividend Option,5000,01-Oct-2013,03-Oct-2013,INF179KA1ZJ5
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124777,HDFC FMP 370D October 2013 (1),Close Ended,Income,HDFC FMP 370D October 2013 (1) - Direct Option - Dividend Option,5000,01-Oct-2013,03-Oct-2013,INF179KA1ZI7
ICICI Prudential Asset Management Company Limited,124794,ICICI Prudential Capital Protection Oriented Fund IV - PLAN E - 36 Months,Close Ended,Income,ICICI Prudential Capital Protection Oriented Fund IV - PLAN E - 36 Months - Direct Plan - Dividend,5000,07-Oct-2013,,INF109KA1FQ7
ICICI Prudential Asset Management Company Limited,124795,ICICI Prudential Capital Protection Oriented Fund IV - PLAN E - 36 Months,Close Ended,Income,ICICI Prudential Capital Protection Oriented Fund IV - PLAN E - 36 Months - Cumulative,5000,07-Oct-2013,,INF109KA1FN4
ICICI Prudential Asset Management Company Limited,124796,ICICI Prudential Capital Protection Oriented Fund IV - PLAN E - 36 Months,Close Ended,Income,ICICI Prudential Capital Protection Oriented Fund IV - PLAN E - 36 Months - Dividend,5000,07-Oct-2013,,INF109KA1FO2
ICICI Prudential Asset Management Company Limited,124797,ICICI Prudential Capital Protection Oriented Fund IV - PLAN E - 36 Months,Close Ended,Income,ICICI Prudential Capital Protection Oriented Fund IV - PLAN E - 36 Months - Direct Plan - Cumulative,5000,07-Oct-2013,,INF109KA1FP9
Nippon Life India Asset Management Limited,124828,Reliance Dual Advantage Fixed Tenure Fund IV - Plan D,Close Ended,Income,Reliance Dual Advantage Fixed Tenure Fund IV - Plan D - Growth Option,Rs. 5000/- per option and in multiples of Re. 1,17-Oct-2013,,INF204KA1768
Nippon Life India Asset Management Limited,124829,Reliance Dual Advantage Fixed Tenure Fund IV - Plan D,Close Ended,Income,Reliance Dual Advantage Fixed Tenure Fund IV - Plan D - Direct Plan - Growth Option,Rs. 5000/- per option and in multiples of Re. 1,17-Oct-2013,,INF204KA1784
Nippon Life India Asset Management Limited,124830,Reliance Dual Advantage Fixed Tenure Fund IV - Plan D,Close Ended,Income,Reliance Dual Advantage Fixed Tenure Fund IV - Plan D - Dividend Payout Option,Rs. 5000/- per option and in multiples of Re. 1,17-Oct-2013,,INF204KA1776
Nippon Life India Asset Management Limited,124831,Reliance Dual Advantage Fixed Tenure Fund IV - Plan D,Close Ended,Income,Reliance Dual Advantage Fixed Tenure Fund IV - Plan D - Direct Plan - Dividend Payout Option,Rs. 5000/- per option and in multiples of Re. 1,17-Oct-2013,,INF204KA1792
Kotak Mahindra Asset Management Company Limited(KMAMCL),124834,Kotak FMP Series 123 (630 Days),Close Ended,Income,Kotak FMP Series 123 (630 Days) - Growth,5000,04-Oct-2013,,
Kotak Mahindra Asset Management Company Limited(KMAMCL),124835,Kotak FMP Series 123 (630 Days),Close Ended,Income,Kotak FMP Series 123 (630 Days) - Direct Growth,5000,04-Oct-2013,,
