CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURUSDINR29-DEC-2021CE75,2.5200000,0.0000,0.0000,0.0000,2.8900,2.4825,0.04,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR27-MAY-2021PE75,0.8625000,0.8100,0.9375,0.7850,0.8300,0.8300,0.03,116834,27004,27004,,2048024247.5000000,22724247.5000000
OPTCURUSDINR02-JUL-2021PE75,0.9875000,0.0000,0.0000,0.0000,0.6175,1.0125,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR29-DEC-2021PE75,1.0300000,0.0000,0.0000,0.0000,1.1200,1.0425,0.01,8,0,0,,0.0000000,0.0000000
OPTCURUSDINR28-SEP-2021CE75.25,1.5250000,0.0000,0.0000,0.0000,2.9125,1.4875,0.04,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR25-JUN-2021CE75.25,0.5750000,0.0000,0.0000,0.0000,1.0100,0.5450,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR27-MAY-2021PE75.25,1.0625000,0.9925,1.1425,0.9700,1.0325,1.0325,0.03,7588,3988,3988,,304322335.0000000,4225335.0000000
OPTCURUSDINR28-JUL-2021PE75.25,1.1350000,0.0000,0.0000,0.0000,0.8925,1.1625,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR11-JUN-2021CE75.25,0.4175000,0.0000,0.0000,0.0000,0.3025,0.3925,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR04-JUN-2021PE75.25,1.1075000,0.0000,0.0000,0.0000,1.7525,1.1350,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR18-JUN-2021PE75.25,1.1175000,0.0000,0.0000,0.0000,1.3500,1.1425,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR27-MAY-2021CE75.25,0.1850000,0.1900,0.2025,0.1550,0.1850,0.1850,0.00,69597,34023,34023,,2566307207.5000000,6076457.5000000
OPTCURUSDINR09-JUL-2021CE75.25,0.7250000,0.0000,0.0000,0.0000,1.2850,0.6900,0.04,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR29-DEC-2021CE75.25,2.3725000,0.0000,0.0000,0.0000,2.7400,2.3350,0.04,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR28-MAY-2021CE75.25,0.2650000,0.0000,0.0000,0.0000,0.3825,0.2400,0.03,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR21-MAY-2021PE75.25,1.0825000,0.0000,0.0000,0.0000,1.9825,1.1175,0.04,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR16-JUL-2021CE75.25,0.0000000,0.0000,0.0000,0.0000,0.8000,0.7650,0.00,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR29-MAR-2022PE75.25,1.0700000,0.0000,0.0000,0.0000,1.2600,1.0800,0.01,0,0,0,,0.0000000,0.0000000
OPTCURUSDINR09-JUL-2021PE75.25,1.1300000,0.0000,0.0000,0.0000,0.7100,1.1600,0.03,0,0,0,,0.0000000,0.0000000
