CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURGBPUSD28-JUN-2021PE1.205,0.0006000,0.0000,0.0000,0.0000,0.0465,0.0006,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-SEP-2021PE1.205,0.0031000,0.0000,0.0000,0.0000,0.0340,0.0031,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD26-MAR-2021PE1.205,0.0000000,0.0000,0.0000,0.0000,0.1096,0.0000,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-SEP-2021CE1.205,0.0249000,0.0000,0.0000,0.0000,0.0267,0.0236,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD26-MAR-2021CE1.205,0.0034000,0.0000,0.0000,0.0000,0.0298,0.0026,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-APR-2021CE1.205,0.0091000,0.0000,0.0000,0.0000,0.0268,0.0080,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD29-DEC-2021CE1.205,0.0320000,0.0000,0.0000,0.0000,0.0532,0.0307,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-JUN-2021CE1.205,0.0165000,0.0000,0.0000,0.0000,0.0124,0.0153,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD27-MAY-2021CE1.205,0.0129000,0.0000,0.0000,0.0000,0.0263,0.0118,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD26-MAR-2021CE1.205,0.1838000,0.0000,0.0000,0.0000,0.1098,0.1829,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-JUN-2021CE1.205,0.1848000,0.0000,0.0000,0.0000,0.0864,0.1838,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-SEP-2021CE1.205,0.1876000,0.0000,0.0000,0.0000,0.1030,0.1866,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD26-MAR-2021PE1.205,0.0165000,0.0000,0.0000,0.0000,0.1226,0.0182,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-JUN-2021PE1.205,0.0273000,0.0000,0.0000,0.0000,0.0875,0.0287,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD27-MAY-2021PE1.205,0.0245000,0.0000,0.0000,0.0000,0.0140,0.0259,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-APR-2021PE1.205,0.0214000,0.0000,0.0000,0.0000,0.0138,0.0229,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD29-DEC-2021PE1.205,0.0380000,0.0000,0.0000,0.0000,0.0284,0.0393,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-SEP-2021PE1.205,0.0336000,0.0000,0.0000,0.0000,0.0588,0.0349,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-JUN-2021PE1.21,0.0304000,0.0000,0.0000,0.0000,0.0915,0.0318,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD27-MAY-2021PE1.21,0.0277000,0.0000,0.0000,0.0000,0.0162,0.0292,0.00,0,0,0,,0.0000000,0.0000000
